stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,train_row_group_start,base_num_iterations,D_actual,train_length_multiplier,support_policy,support_point_id,support_keys,delta_support_process_family,delta_support_process_repeats,target_line_referee_usage,roihu_partition_note,paired_stream_block,muon_momentum_warmup_steps,weight_decay_horizon_tokens,weight_decay_horizon_source,optimizer_schedule_arm,optimizer_schedule_role,schedule_reference_target_index,schedule_reference_iterations,lr_warmup_ratio,muon_momentum_warmup_ratio,warmdown_ratio,final_lr_fraction
fsl_x225_schedule_a00_source5x5_s401_424_20260716_1136_n0-d0-dep4-md128-it144-x1p00-s401-rg0,source_delta_support_process_control,canonical,4,72,64,128,401,144,75497472,524288,16,2048,40,1,L,fsl-x225-schedule-a00-source5x5-s401-424-20260716-1136-n0-d0-dep4-md128-it144-x1p00-s401-rg0,0,0,x225_multisupport_delta_confirmation_source,4,75497472,524288,Fresh measured 5x5 source grid for the sealed x225 multi-support Delta confirmation. Target losses are evaluation-only.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,1,x225_multisupport_full_5x5_collection,,1.305337,0,144,75497472,1.0,physical_full_5x5_collection,0:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,x225_multisupport_confirmation,paired_train_seed,sealed_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.,1,400,-1,legacy_nominal_12N,A00_legacy,source_surface,5,2615,,,0.65,0.05
fsl_x225_schedule_a00_source5x5_s401_424_20260716_1136_n0-d1-dep4-md128-it216-x1p00-s401-rg0,source_delta_support_process_control,canonical,4,72,64,128,401,216,113246208,524288,16,2048,40,1,L,fsl-x225-schedule-a00-source5x5-s401-424-20260716-1136-n0-d1-dep4-md128-it216-x1p00-s401-rg0,0,1,x225_multisupport_delta_confirmation_source,4,113246208,524288,Fresh measured 5x5 source grid for the sealed x225 multi-support Delta confirmation. Target losses are evaluation-only.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,2,x225_multisupport_full_5x5_collection,,1.305337,0,216,113246208,1.0,physical_full_5x5_collection,0:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,x225_multisupport_confirmation,paired_train_seed,sealed_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.,1,400,-1,legacy_nominal_12N,A00_legacy,source_surface,5,2615,,,0.65,0.05
fsl_x225_schedule_a00_source5x5_s401_424_20260716_1136_n0-d2-dep4-md128-it324-x1p00-s401-rg0,source_delta_support_process_control,canonical,4,72,64,128,401,324,169869312,524288,16,2048,40,1,L,fsl-x225-schedule-a00-source5x5-s401-424-20260716-1136-n0-d2-dep4-md128-it324-x1p00-s401-rg0,0,2,x225_multisupport_delta_confirmation_source,4,169869312,524288,Fresh measured 5x5 source grid for the sealed x225 multi-support Delta confirmation. Target losses are evaluation-only.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,3,x225_multisupport_full_5x5_collection,,1.305337,0,324,169869312,1.0,physical_full_5x5_collection,0:2,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,x225_multisupport_confirmation,paired_train_seed,sealed_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.,1,400,-1,legacy_nominal_12N,A00_legacy,source_surface,5,2615,,,0.65,0.05
fsl_x225_schedule_a00_source5x5_s401_424_20260716_1136_n0-d3-dep4-md128-it486-x1p00-s401-rg0,source_delta_support_process_control,canonical,4,72,64,128,401,486,254803968,524288,16,2048,40,1,L,fsl-x225-schedule-a00-source5x5-s401-424-20260716-1136-n0-d3-dep4-md128-it486-x1p00-s401-rg0,0,3,x225_multisupport_delta_confirmation_source,4,254803968,524288,Fresh measured 5x5 source grid for the sealed x225 multi-support Delta confirmation. Target losses are evaluation-only.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,x225_multisupport_full_5x5_collection,,1.305337,0,486,254803968,1.0,physical_full_5x5_collection,0:3,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,x225_multisupport_confirmation,paired_train_seed,sealed_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.,1,400,-1,legacy_nominal_12N,A00_legacy,source_surface,5,2615,,,0.65,0.05
fsl_x225_schedule_a00_source5x5_s401_424_20260716_1136_n0-d4-dep4-md128-it729-x1p00-s401-rg0,source_delta_support_process_control,canonical,4,72,64,128,401,729,382205952,524288,16,2048,40,1,L,fsl-x225-schedule-a00-source5x5-s401-424-20260716-1136-n0-d4-dep4-md128-it729-x1p00-s401-rg0,0,4,x225_multisupport_delta_confirmation_source,4,382205952,524288,Fresh measured 5x5 source grid for the sealed x225 multi-support Delta confirmation. Target losses are evaluation-only.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,5,x225_multisupport_full_5x5_collection,,1.305337,0,729,382205952,1.0,physical_full_5x5_collection,0:4,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,x225_multisupport_confirmation,paired_train_seed,sealed_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.,1,400,-1,legacy_nominal_12N,A00_legacy,source_surface,5,2615,,,0.65,0.05
fsl_x225_schedule_a00_source5x5_s401_424_20260716_1136_n1-d0-dep4-md192-it144-x1p00-s401-rg0,source_delta_support_process_control,canonical,4,72,64,192,401,144,75497472,524288,16,2048,40,1,L,fsl-x225-schedule-a00-source5x5-s401-424-20260716-1136-n1-d0-dep4-md192-it144-x1p00-s401-rg0,1,0,x225_multisupport_delta_confirmation_source,4,75497472,524288,Fresh measured 5x5 source grid for the sealed x225 multi-support Delta confirmation. Target losses are evaluation-only.,controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,6,x225_multisupport_full_5x5_collection,,1.305337,0,144,75497472,1.0,physical_full_5x5_collection,1:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,x225_multisupport_confirmation,paired_train_seed,sealed_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.,1,400,-1,legacy_nominal_12N,A00_legacy,source_surface,5,2615,,,0.65,0.05
fsl_x225_schedule_a00_source5x5_s401_424_20260716_1136_n1-d1-dep4-md192-it216-x1p00-s401-rg0,source_delta_support_process_control,canonical,4,72,64,192,401,216,113246208,524288,16,2048,40,1,L,fsl-x225-schedule-a00-source5x5-s401-424-20260716-1136-n1-d1-dep4-md192-it216-x1p00-s401-rg0,1,1,x225_multisupport_delta_confirmation_source,4,113246208,524288,Fresh measured 5x5 source grid for the sealed x225 multi-support Delta confirmation. Target losses are evaluation-only.,controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,7,x225_multisupport_full_5x5_collection,,1.305337,0,216,113246208,1.0,physical_full_5x5_collection,1:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,x225_multisupport_confirmation,paired_train_seed,sealed_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.,1,400,-1,legacy_nominal_12N,A00_legacy,source_surface,5,2615,,,0.65,0.05
fsl_x225_schedule_a00_source5x5_s401_424_20260716_1136_n1-d2-dep4-md192-it324-x1p00-s401-rg0,source_delta_support_process_control,canonical,4,72,64,192,401,324,169869312,524288,16,2048,40,1,L,fsl-x225-schedule-a00-source5x5-s401-424-20260716-1136-n1-d2-dep4-md192-it324-x1p00-s401-rg0,1,2,x225_multisupport_delta_confirmation_source,4,169869312,524288,Fresh measured 5x5 source grid for the sealed x225 multi-support Delta confirmation. Target losses are evaluation-only.,controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,8,x225_multisupport_full_5x5_collection,,1.305337,0,324,169869312,1.0,physical_full_5x5_collection,1:2,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,x225_multisupport_confirmation,paired_train_seed,sealed_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.,1,400,-1,legacy_nominal_12N,A00_legacy,source_surface,5,2615,,,0.65,0.05
fsl_x225_schedule_a00_source5x5_s401_424_20260716_1136_n1-d3-dep4-md192-it486-x1p00-s401-rg0,source_delta_support_process_control,canonical,4,72,64,192,401,486,254803968,524288,16,2048,40,1,L,fsl-x225-schedule-a00-source5x5-s401-424-20260716-1136-n1-d3-dep4-md192-it486-x1p00-s401-rg0,1,3,x225_multisupport_delta_confirmation_source,4,254803968,524288,Fresh measured 5x5 source grid for the sealed x225 multi-support Delta confirmation. Target losses are evaluation-only.,controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,9,x225_multisupport_full_5x5_collection,,1.305337,0,486,254803968,1.0,physical_full_5x5_collection,1:3,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,x225_multisupport_confirmation,paired_train_seed,sealed_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.,1,400,-1,legacy_nominal_12N,A00_legacy,source_surface,5,2615,,,0.65,0.05
fsl_x225_schedule_a00_source5x5_s401_424_20260716_1136_n1-d4-dep4-md192-it729-x1p00-s401-rg0,source_delta_support_process_control,canonical,4,72,64,192,401,729,382205952,524288,16,2048,40,1,L,fsl-x225-schedule-a00-source5x5-s401-424-20260716-1136-n1-d4-dep4-md192-it729-x1p00-s401-rg0,1,4,x225_multisupport_delta_confirmation_source,4,382205952,524288,Fresh measured 5x5 source grid for the sealed x225 multi-support Delta confirmation. Target losses are evaluation-only.,controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,10,x225_multisupport_full_5x5_collection,,1.305337,0,729,382205952,1.0,physical_full_5x5_collection,1:4,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:0;2:1;2:2;2:3;2:4;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4,x225_multisupport_confirmation,paired_train_seed,sealed_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.,1,400,-1,legacy_nominal_12N,A00_legacy,source_surface,5,2615,,,0.65,0.05
